0,0,0,0,0,0,0,0,0,0
0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0
2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,2;T|0;TB,0
0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0
0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0
4;BL|0;TB|3,3|0;TB,3|0;TB,0;TB,0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0
6;L|0;TB,0;TB,0;TB,0;TB,5;T|0;TB|3,3|0;TB,3|0;TB,3|0;TB,4;BR|0;TB|3,0
6;L|0;TB,0;TB,0;TB,0;TB,5;T|0;TB,0;TB,0;TB,0;TB,4;BR|0;TB,0
4;BL|0;TB|3,3|0;TB,3|0;TB,0;TB,5;T|0;TB,0;TB,0;TB,0;TB,6;R|0;TB,0
4;BL|0;TB,0;TB,0;TB,0;TB,5;T|0;TB,0;TB,0;TB,0;TB,6;R|0;TB,0
4;BL|0;TB,0;TB,0;TB,0;TB,1;T,1;T,1;T,1;T,1;T,1;F
1;T,1;T,1;T,1;T,1;T,*,*,*,*,*
1;T,*,*,*,*,*,*,*,*,*
